T,m,chi,E,Cv,dm/dbeta,binder,dbinder/dbeta
0.806,9.94925284e-01,4.43932185e+01,-1.97977559e+00,2.76986936e-03,2.39357567e-01,6.66665920e-01,5.96017025e-06
0.807,9.94924358e-01,4.48854142e+01,-1.97977280e+00,2.79728019e-03,2.42319346e-01,6.66665911e-01,6.03335684e-06
0.808,9.94923423e-01,4.53817396e+01,-1.97976999e+00,2.82488499e-03,2.45310261e-01,6.66665902e-01,6.10730810e-06
0.809,9.94922479e-01,4.58821748e+01,-1.97976715e+00,2.85268319e-03,2.48330349e-01,6.66665892e-01,6.18189123e-06
0.810,9.94921526e-01,4.63867642e+01,-1.97976429e+00,2.88067620e-03,2.51379905e-01,6.66665883e-01,6.25719189e-06
0.811,9.94920564e-01,4.68955348e+01,-1.97976139e+00,2.90886490e-03,2.54459158e-01,6.66665873e-01,6.33323575e-06
0.812,9.94919592e-01,4.74085048e+01,-1.97975847e+00,2.93724986e-03,2.57568297e-01,6.66665863e-01,6.41001808e-06
0.813,9.94918610e-01,4.79256737e+01,-1.97975552e+00,2.96583112e-03,2.60707441e-01,6.66665854e-01,6.48747373e-06
0.814,9.94917619e-01,4.84470928e+01,-1.97975254e+00,2.99461029e-03,2.63876916e-01,6.66665844e-01,6.56570992e-06
0.815,9.94916619e-01,4.89727584e+01,-1.97974953e+00,3.02358728e-03,2.67076828e-01,6.66665834e-01,6.64464930e-06
0.816,9.94915609e-01,4.95026996e+01,-1.97974649e+00,3.05276303e-03,2.70307415e-01,6.66665824e-01,6.72432510e-06
0.817,9.94914589e-01,5.00369342e+01,-1.97974342e+00,3.08213810e-03,2.73568870e-01,6.66665814e-01,6.80473240e-06
0.818,9.94913560e-01,5.05755201e+01,-1.97974033e+00,3.11171429e-03,2.76861551e-01,6.66665803e-01,6.88600421e-06
0.819,9.94912520e-01,5.11184160e+01,-1.97973720e+00,3.14149037e-03,2.80185411e-01,6.66665793e-01,6.96793260e-06
0.820,9.94911471e-01,5.16656816e+01,-1.97973404e+00,3.17146820e-03,2.83540817e-01,6.66665783e-01,7.05065621e-06
0.821,9.94910412e-01,5.22173121e+01,-1.97973086e+00,3.20164765e-03,2.86927873e-01,6.66665772e-01,7.13409439e-06
0.822,9.94909343e-01,5.27733519e+01,-1.97972764e+00,3.23203010e-03,2.90346883e-01,6.66665761e-01,7.21833169e-06
0.823,9.94908263e-01,5.33338147e+01,-1.97972439e+00,3.26261600e-03,2.93798029e-01,6.66665751e-01,7.30335129e-06
0.824,9.94907174e-01,5.38987288e+01,-1.97972112e+00,3.29340621e-03,2.97281550e-01,6.66665740e-01,7.38918310e-06
0.825,9.94906074e-01,5.44680840e+01,-1.97971781e+00,3.32440047e-03,3.00797530e-01,6.66665729e-01,7.47572807e-06
0.826,9.94904964e-01,5.50419193e+01,-1.97971447e+00,3.35559998e-03,3.04346256e-01,6.66665718e-01,7.56305343e-06
0.827,9.94903844e-01,5.56202629e+01,-1.97971109e+00,3.38700560e-03,3.07927969e-01,6.66665707e-01,7.65119090e-06
0.828,9.94902713e-01,5.62031395e+01,-1.97970769e+00,3.41861810e-03,3.11542899e-01,6.66665695e-01,7.74016078e-06
0.829,9.94901572e-01,5.67905558e+01,-1.97970426e+00,3.45043771e-03,3.15191201e-01,6.66665684e-01,7.82992003e-06
0.830,9.94900420e-01,5.73825421e+01,-1.97970079e+00,3.48246536e-03,3.18873127e-01,6.66665673e-01,7.92050828e-06
0.831,9.94899257e-01,5.79791112e+01,-1.97969729e+00,3.51470144e-03,3.22588860e-01,6.66665661e-01,8.01190327e-06
0.832,9.94898084e-01,5.85802754e+01,-1.97969376e+00,3.54714636e-03,3.26338578e-01,6.66665649e-01,8.10408217e-06
0.833,9.94896900e-01,5.91860562e+01,-1.97969020e+00,3.57980077e-03,3.30122503e-01,6.66665638e-01,8.19705547e-06
0.834,9.94895705e-01,5.97964939e+01,-1.97968660e+00,3.61266588e-03,3.33940928e-01,6.66665626e-01,8.29089559e-06
0.835,9.94894499e-01,6.04115869e+01,-1.97968297e+00,3.64574169e-03,3.37793980e-01,6.66665614e-01,8.38553242e-06
0.836,9.94893283e-01,6.10313809e+01,-1.97967931e+00,3.67902955e-03,3.41681980e-01,6.66665602e-01,8.48105930e-06
0.837,9.94892055e-01,6.16558722e+01,-1.97967561e+00,3.71252938e-03,3.45605044e-01,6.66665590e-01,8.57739820e-06
0.838,9.94890816e-01,6.22850890e+01,-1.97967189e+00,3.74624202e-03,3.49563422e-01,6.66665577e-01,8.67458126e-06
0.839,9.94889566e-01,6.29190475e+01,-1.97966812e+00,3.78016799e-03,3.53557314e-01,6.66665565e-01,8.77259991e-06
0.840,9.94888305e-01,6.35577794e+01,-1.97966432e+00,3.81430821e-03,3.57586985e-01,6.66665552e-01,8.87149994e-06
0.841,9.94887032e-01,6.42012730e+01,-1.97966049e+00,3.84866238e-03,3.61652522e-01,6.66665540e-01,8.97117402e-06
0.842,9.94885748e-01,6.48496113e+01,-1.97965663e+00,3.88323294e-03,3.65754406e-01,6.66665527e-01,9.07184811e-06
0.843,9.94884453e-01,6.55027508e+01,-1.97965273e+00,3.91801863e-03,3.69892590e-01,6.66665514e-01,9.17330528e-06
0.844,9.94883146e-01,6.61607450e+01,-1.97964879e+00,3.95302103e-03,3.74067433e-01,6.66665501e-01,9.27566682e-06
0.845,9.94881827e-01,6.68235923e+01,-1.97964482e+00,3.98824012e-03,3.78279065e-01,6.66665488e-01,9.37886234e-06
0.846,9.94880497e-01,6.74913306e+01,-1.97964081e+00,4.02367701e-03,3.82527783e-01,6.66665475e-01,9.48296038e-06
0.847,9.94879155e-01,6.81639795e+01,-1.97963677e+00,4.05933228e-03,3.86813805e-01,6.66665462e-01,9.58796340e-06
0.848,9.94877801e-01,6.88415498e+01,-1.97963270e+00,4.09520628e-03,3.91137317e-01,6.66665448e-01,9.69384647e-06
0.849,9.94876435e-01,6.95240546e+01,-1.97962858e+00,4.13129937e-03,3.95498509e-01,6.66665435e-01,9.80058970e-06
0.850,9.94875057e-01,7.02115516e+01,-1.97962443e+00,4.16761327e-03,3.99897765e-01,6.66665421e-01,9.90833272e-06
0.851,9.94873667e-01,7.09040186e+01,-1.97962025e+00,4.20414734e-03,4.04335132e-01,6.66665407e-01,1.00169320e-05
0.852,9.94872266e-01,7.16014824e+01,-1.97961603e+00,4.24090234e-03,4.08810862e-01,6.66665393e-01,1.01264161e-05
0.853,9.94870852e-01,7.23039769e+01,-1.97961177e+00,4.27787929e-03,4.13325238e-01,6.66665379e-01,1.02368418e-05
0.854,9.94869425e-01,7.30115035e+01,-1.97960747e+00,4.31507824e-03,4.17878409e-01,6.66665365e-01,1.03481499e-05
0.855,9.94867987e-01,7.37241171e+01,-1.97960314e+00,4.35250078e-03,4.22470749e-01,6.66665351e-01,1.04604700e-05
0.856,9.94866536e-01,7.44418091e+01,-1.97959876e+00,4.39014666e-03,4.27102363e-01,6.66665337e-01,1.05737073e-05
0.857,9.94865072e-01,7.51645779e+01,-1.97959436e+00,4.42801584e-03,4.31773387e-01,6.66665322e-01,1.06877912e-05
0.858,9.94863596e-01,7.58924881e+01,-1.97958991e+00,4.46611021e-03,4.36484240e-01,6.66665307e-01,1.08028879e-05
0.859,9.94862108e-01,7.66255302e+01,-1.97958542e+00,4.50442948e-03,4.41235025e-01,6.66665293e-01,1.09188993e-05
0.860,9.94860606e-01,7.73637318e+01,-1.97958090e+00,4.54297447e-03,4.46026003e-01,6.66665278e-01,1.10358594e-05
0.861,9.94859092e-01,7.81071167e+01,-1.97957634e+00,4.58174585e-03,4.50857422e-01,6.66665263e-01,1.11537894e-05
0.862,9.94857565e-01,7.88556910e+01,-1.97957174e+00,4.62074382e-03,4.55729453e-01,6.66665248e-01,1.12726472e-05
0.863,9.94856026e-01,7.96094947e+01,-1.97956710e+00,4.65996951e-03,4.60642413e-01,6.66665233e-01,1.13925119e-05
0.864,9.94854473e-01,8.03685453e+01,-1.97956242e+00,4.69942344e-03,4.65596523e-01,6.66665217e-01,1.15133818e-05
0.865,9.94852907e-01,8.11328311e+01,-1.97955770e+00,4.73910527e-03,4.70591881e-01,6.66665202e-01,1.16351521e-05
0.866,9.94851328e-01,8.19023886e+01,-1.97955294e+00,4.77901606e-03,4.75628792e-01,6.66665186e-01,1.17578910e-05
0.867,9.94849736e-01,8.26772544e+01,-1.97954814e+00,4.81915685e-03,4.80707559e-01,6.66665170e-01,1.18816650e-05
0.868,9.94848131e-01,8.34574262e+01,-1.97954330e+00,4.85952757e-03,4.85828322e-01,6.66665154e-01,1.20064024e-05
0.869,9.94846512e-01,8.42429377e+01,-1.97953842e+00,4.90012920e-03,4.90991376e-01,6.66665138e-01,1.21321630e-05
0.870,9.94844880e-01,8.50337887e+01,-1.97953350e+00,4.94096172e-03,4.96196870e-01,6.66665122e-01,1.22588808e-05
0.871,9.94843234e-01,8.58300283e+01,-1.97952854e+00,4.98202653e-03,5.01445165e-01,6.66665106e-01,1.23866711e-05
0.872,9.94841575e-01,8.66316410e+01,-1.97952353e+00,5.02332321e-03,5.06736346e-01,6.66665090e-01,1.25154148e-05
0.873,9.94839902e-01,8.74386730e+01,-1.97951849e+00,5.06485305e-03,5.12070764e-01,6.66665073e-01,1.26452161e-05
0.874,9.94838215e-01,8.82511118e+01,-1.97951340e+00,5.10661571e-03,5.17448518e-01,6.66665057e-01,1.27759665e-05
0.875,9.94836515e-01,8.90690182e+01,-1.97950828e+00,5.14861291e-03,5.22870022e-01,6.66665040e-01,1.29078246e-05
0.876,9.94834801e-01,8.98923484e+01,-1.97950311e+00,5.19084342e-03,5.28335241e-01,6.66665023e-01,1.30405678e-05
0.877,9.94833072e-01,9.07211945e+01,-1.97949790e+00,5.23330983e-03,5.33844728e-01,6.66665006e-01,1.31744689e-05
0.878,9.94831330e-01,9.15555397e+01,-1.97949264e+00,5.27601168e-03,5.39398563e-01,6.66664989e-01,1.33094039e-05
0.879,9.94829574e-01,9.23953922e+01,-1.97948734e+00,5.31894920e-03,5.44996938e-01,6.66664971e-01,1.34453416e-05
0.880,9.94827803e-01,9.32407871e+01,-1.97948200e+00,5.36212337e-03,5.50640162e-01,6.66664954e-01,1.35823469e-05
0.881,9.94826018e-01,9.40917318e+01,-1.97947662e+00,5.40553441e-03,5.56328421e-01,6.66664936e-01,1.37203848e-05
0.882,9.94824219e-01,9.49482595e+01,-1.97947119e+00,5.44918326e-03,5.62062018e-01,6.66664918e-01,1.38595152e-05
0.883,9.94822406e-01,9.58103767e+01,-1.97946572e+00,5.49307009e-03,5.67841138e-01,6.66664900e-01,1.39996997e-05
0.884,9.94820578e-01,9.66780955e+01,-1.97946021e+00,5.53719525e-03,5.73665991e-01,6.66664882e-01,1.41409210e-05
